Epsilon,Confiance avant débruitage,Confiance après débruitage,Accuracy avant débruitage,Accuracy après débruitage,F1-score avant débruitage,F1-score après débruitage
normal,0.6240592,0.45241997,1.0,0.632,1.0,0.6904930667155766
eps_0.02,0.6468563,0.45609453,1.0,0.646,1.0,0.7130383136746444
eps_0.03,0.66166955,0.45858234,1.0,0.641,1.0,0.7125804051805729
eps_0.05,0.69438213,0.4785033,1.0,0.619,1.0,0.6918630799015676
eps_0.2,0.45062461,0.43669027,1.0,0.367,1.0,0.4028813894028198
eps_0.4,0.4499502,0.4146603,1.0,0.171,1.0,0.13159133733276748
eps_0.7,0.48651984,0.33980754,1.0,0.029,1.0,0.015196679733606116
eps_0.9,0.37617865,0.378011,1.0,0.069,1.0,0.04830205212437741
