Scenario,Accuracy,Inference Time
Clean,0.8745034574076799,0.0019408749862455986
FGSM Attack,0.650139767544505,0.06691321856539015
PGD Attack,0.6232161247609239,0.3369675063191445
DeepFool Attack,0.25687803442695306,5.407328310147138
