Scenario,Accuracy,Inference Time
Clean,0.7791214215202369,0.0010101832742766134
FGSM Attack,0.41732477788746297,0.036179127655630035
PGD Attack,0.26480750246791707,0.1488924195447306
Clean (After Defense),0.7852912142152023,0.001906732874592458
FGSM (After Defense),0.782329713721619,0.043207718631413976
PGD (After Defense),0.7813425468904245,0.15732752807497039
