Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Val AUC,Val PR AUC,Natural Precision,Natural Recall,Natural F1,Attacked Precision,Attacked Recall,Attacked F1
1,0.39049759596586225,0.21633687824942172,0.863125,0.905,0.9497412038383252,0.9944354376595531,0.0,0.0,0.0,0.905,1.0,0.9501312335958005
2,0.2000213629603386,0.19597407316905446,0.9045,0.905,0.9804129107298634,0.9979604766899512,0.0,0.0,0.0,0.905,1.0,0.9501312335958005
3,0.14108061927556992,0.17231100762728602,0.94025,0.921,0.9899156731608025,0.9989419489766267,0.5465116279069767,0.9894736842105263,0.7041198501872659,0.998792270531401,0.9138121546961326,0.9544143104443162
4,0.10842528926581144,0.27780543733388186,0.96,0.834,0.9876475719685955,0.9986974155406714,0.36398467432950193,1.0,0.5337078651685394,1.0,0.8165745856353591,0.8990267639902677
5,0.086548359811306,0.46794046812942725,0.971625,0.905,0.9866472811863913,0.9986133623019359,0.0,0.0,0.0,0.905,1.0,0.9501312335958005
6,0.07674568472802638,0.28756919456645846,0.971,0.853,0.9909275952311719,0.9990333118561077,0.3925619834710744,1.0,0.5637982195845697,1.0,0.8375690607734807,0.9116055321707758
7,0.06687790109962224,0.06158336449880153,0.97525,0.977,0.9973713288746728,0.9997169018487733,0.8214285714285714,0.968421052631579,0.8888888888888888,0.9966216216216216,0.9779005524861878,0.9871723368655884
8,0.05935268507152796,2.438864205032587,0.979,0.519,0.9399825530677521,0.9934971909829355,0.16493055555555555,1.0,0.28315946348733234,1.0,0.4685082872928177,0.6380737396538751
9,0.05179800192639232,2.5787836238741875,0.979875,0.509,0.9472172143064844,0.9942879774473018,0.1621160409556314,1.0,0.2790014684287812,1.0,0.4574585635359116,0.6277482941622441
10,0.047252898750826715,0.03986122759670252,0.98425,0.986,0.9984414073858678,0.9998331795578919,0.8932038834951457,0.968421052631579,0.9292929292929294,0.9966555183946488,0.9878453038674033,0.9922308546059934
11,0.04274853818397969,1.1620359905064106,0.98625,0.741,0.9781680721139866,0.9976738460217844,0.268361581920904,1.0,0.423162583518931,1.0,0.7138121546961326,0.833010960670535
12,0.036853814620524644,1.8272027857601643,0.987875,0.63,0.975504507124164,0.9973840834764419,0.20430107526881722,1.0,0.3392857142857143,1.0,0.5911602209944752,0.7430555555555557
13,0.0504582627308555,0.059366615871113027,0.9805,0.972,0.9989182902006397,0.999885435491852,0.7815126050420168,0.9789473684210527,0.869158878504673,0.9977298524404086,0.9712707182320443,0.9843225083986563
