Epsilon,Confiance avant débruitage,Confiance après débruitage
normal,0.18698971,0.57812536
eps_0.02,0.17978281,0.5918534
eps_0.03,0.18067157,0.6039458
eps_0.05,0.1999301,0.6756128
eps_0.2,0.15684763,0.4755471
eps_0.4,0.17750359,0.5159396
eps_0.7,0.18998182,0.41018346
eps_0.9,0.21179244,0.3851797
